Freguesia,Year,Month,mean
Estrela,2019,12,88.63275463451656
Lumiar,2020,1,96.08238967561542
Avenidas Novas,2020,1,123.91481838381047
Areeiro,2020,1,119.50797343327449
Beato,2020,1,61.34611163360394
Benfica,2020,1,65.20650555815283
Misericórdia,2020,1,81.98032759447334
Parque das Nações,2020,1,70.13871389639684
Olivais,2020,1,95.41041364540241
Marvila,2020,1,78.31086794541187
Santa Clara,2020,1,72.01357084765353
Alvalade,2020,1,97.01692993167809
Penha de França,2020,1,79.3642285107118
Santo António,2020,1,125.03241151070415
Arroios,2020,1,104.82371195711829
Santa Maria Maior,2020,1,87.69411194712401
Campo de Ourique,2020,1,96.01069235526782
Alcântara,2020,1,59.74665998490544
Ajuda,2020,1,75.66487525707264
Belém,2020,1,56.74752291061655
São Domingos de Benfica,2020,1,103.69576349419567
Campolide,2020,1,108.36776046137365
Carnide,2020,1,95.80405171463133
São Vicente,2020,1,76.37848385641628
Estrela,2020,1,85.62719727482111
Lumiar,2020,2,99.8947968007373
Avenidas Novas,2020,2,129.7058059986786
Areeiro,2020,2,126.09528571202205
Beato,2020,2,61.63546275612533
Benfica,2020,2,65.24489356964592
Misericórdia,2020,2,84.94621995729676
Parque das Nações,2020,2,81.85245623254248
Olivais,2020,2,104.22912009889384
Marvila,2020,2,88.02765935446396
Santa Clara,2020,2,76.43045734573197
Alvalade,2020,2,101.22713451640624
Penha de França,2020,2,81.10433814117137
Santo António,2020,2,138.13311284908994
Arroios,2020,2,109.47754800486011
Santa Maria Maior,2020,2,90.7360252024019
Campo de Ourique,2020,2,99.93594461672349
Alcântara,2020,2,61.818221050517884
Ajuda,2020,2,76.01401845568556
Belém,2020,2,59.40128681785483
São Domingos de Benfica,2020,2,112.60308327945882
Campolide,2020,2,109.73265315256356
Carnide,2020,2,99.95672702330727
São Vicente,2020,2,74.09006940547506
Estrela,2020,2,81.51755019385475
Lumiar,2020,3,104.12331756715318
Avenidas Novas,2020,3,130.23241766804378
Areeiro,2020,3,123.72256489973805
Beato,2020,3,58.23736647397476
Benfica,2020,3,67.62462279834146
Misericórdia,2020,3,80.41294528827314
Parque das Nações,2020,3,77.19257432692041
Olivais,2020,3,108.58123978394718
Marvila,2020,3,87.17249411437545
Santa Clara,2020,3,82.10217518185146
Alvalade,2020,3,104.180319605027
Penha de França,2020,3,81.02985925825081
Santo António,2020,3,132.58275093384057
Arroios,2020,3,111.02621351138562
Santa Maria Maior,2020,3,95.22696016261243
Campo de Ourique,2020,3,102.39418377582405
Alcântara,2020,3,63.377418629324296
Ajuda,2020,3,78.51521647050276
Belém,2020,3,60.86083248951634
São Domingos de Benfica,2020,3,102.21570220748036
Campolide,2020,3,114.19477034678773
Carnide,2020,3,99.688845075164
São Vicente,2020,3,76.7042031267587
Estrela,2020,3,81.37573109613145
Lumiar,2020,4,89.22593510772809
Avenidas Novas,2020,4,111.98818254962194
Areeiro,2020,4,107.60771941551798
Beato,2020,4,57.5575204594088
Benfica,2020,4,63.595631488508424
Misericórdia,2020,4,72.934840947622
Parque das Nações,2020,4,66.76922310996835
Olivais,2020,4,93.51896934195861
Marvila,2020,4,77.13743401542462
Santa Clara,2020,4,72.43003227572237
Alvalade,2020,4,92.1598923412009
Penha de França,2020,4,73.53424809225278
Santo António,2020,4,104.0950020027748
Arroios,2020,4,95.3977680460612
Santa Maria Maior,2020,4,76.82555867813905
Campo de Ourique,2020,4,90.6941706556923
Alcântara,2020,4,58.25848392780621
Ajuda,2020,4,70.33362523887826
Belém,2020,4,55.99984309234869
São Domingos de Benfica,2020,4,93.73067312929122
Campolide,2020,4,100.97415718219827
Carnide,2020,4,87.53549963729463
