Freguesia,AnoMes,Stock_12M_ALV_Nova_Construcao_Area,Stock_12M_ALV_Reabilitacao_Area,Stock_12M_ALV_Nova_Construcao_Count,Stock_12M_ALV_Reabilitacao_Count,Stock_12M_ALV_Demolicao_Area,Stock_12M_ALV_Demolicao_Count,Racio_Gentrificacao_ALV_Area,Racio_Gentrificacao_ALV_Count
Estrela,2018-10,897.35302734375,29816.9228515625,4.0,64.0,0.0,0.0,33.22763574672482,15.999600009999751
Estrela,2018-11,897.35302734375,33441.2197265625,4.0,70.0,0.0,0.0,37.26651048239133,17.499562510937228
Estrela,2018-12,1849.0791015625,31698.3291015625,6.0,69.0,0.0,0.0,17.142764395801397,11.499808336527725
Estrela,2019-01,1692.93212890625,29754.892578125,5.0,68.0,0.0,0.0,17.575950218248664,13.599728005439891
Estrela,2019-02,1692.93212890625,30374.60107421875,5.0,68.0,0.0,0.0,17.94200651129598,13.599728005439891
Estrela,2019-03,1692.93212890625,31728.41748046875,5.0,74.0,0.0,0.0,18.741693813087533,14.799704005919882
Estrela,2019-04,1692.93212890625,30939.56103515625,5.0,73.0,0.0,0.0,18.275723331905212,14.599708005839885
Estrela,2019-05,1481.0087890625,31396.8623046875,4.0,74.0,0.0,0.0,21.199644739851742,18.499537511562213
Estrela,2019-06,1371.90576171875,34912.845703125,3.0,74.0,0.0,0.0,25.448426657631973,24.665844471850935
Estrela,2019-07,1371.90576171875,33528.54248046875,3.0,76.0,0.0,0.0,24.43939006023602,25.3324889170361
Estrela,2019-08,1650.58251953125,28028.5458984375,4.0,71.0,0.0,0.0,16.981001475949956,17.749556261093474
Estrela,2019-09,1650.58251953125,28007.94580078125,4.0,67.0,0.0,0.0,16.9685209751786,16.74958126046849
Estrela,2019-10,1230.40283203125,28529.05517578125,3.0,69.0,0.0,0.0,23.18675812051516,22.999233358888034
Estrela,2019-11,1230.40283203125,31727.22509765625,3.0,65.0,0.0,0.0,25.786044775818556,21.665944468517715
Estrela,2019-12,278.6767578125,32366.7705078125,1.0,60.0,0.0,0.0,116.14445046452184,59.99400059994001
Estrela,2020-01,278.6767578125,32770.85205078125,1.0,58.0,0.0,0.0,117.59445082027662,57.994200579942
Estrela,2020-02,278.6767578125,32892.94189453125,1.0,59.0,0.0,0.0,118.03255624714399,58.994100589941006
Estrela,2020-03,278.6767578125,30747.76220703125,1.0,52.0,0.0,0.0,110.33482452898558,51.99480051994801
Estrela,2020-04,278.6767578125,39178.81298828125,1.0,55.0,0.0,0.0,140.58868503046503,54.99450054994501
Estrela,2020-05,278.6767578125,38754.18359375,1.0,54.0,0.0,0.0,139.0649510617946,53.994600539946006
Estrela,2020-06,278.6767578125,33009.3359375,1.0,49.0,0.0,0.0,118.45022294499036,48.99510048995101
Estrela,2020-07,278.6767578125,45162.21533203125,1.0,47.0,0.0,0.0,162.0594393324809,46.99530046995301
Estrela,2020-08,0.0,45915.4609375,0.0,51.0,0.0,0.0,459154609.375,510000.0
Estrela,2020-09,0.0,44815.46337890625,0.0,52.0,0.0,0.0,448154633.7890625,520000.0
Estrela,2020-10,116.82177734375,45039.12109375,1.0,54.0,0.0,0.0,385.5367001269955,53.994600539946006
Estrela,2020-11,116.82177734375,39374.20556640625,1.0,53.0,0.0,0.0,337.04479384924707,52.994700529947
Estrela,2020-12,116.82177734375,39993.79204251058,1.0,58.0,0.0,0.0,342.3484791708002,57.994200579942
Estrela,2021-01,116.82177734375,40002.96782376058,1.0,62.0,0.0,0.0,342.42702422981347,61.99380061993801
Estrela,2021-02,116.82177734375,43412.892140166834,1.0,71.0,0.0,0.0,371.61611444082337,70.992900709929
Estrela,2021-03,404.5283203125,45875.218800323084,2.0,77.0,0.0,0.0,113.40419238006635,38.49807509624518
Estrela,2021-04,404.5283203125,38049.135792510584,2.0,72.0,0.0,0.0,94.05800404114366,35.9982000899955
Estrela,2021-05,404.5283203125,40319.403858916834,2.0,76.0,0.0,0.0,99.67013894294477,37.998100094995245
Estrela,2021-06,404.5283203125,41892.035694854334,2.0,77.0,0.0,0.0,103.55770717541317,38.49807509624518
Estrela,2021-07,404.5283203125,35708.231983916834,2.0,77.0,0.0,0.0,88.27125658150808,38.49807509624518
Estrela,2021-08,736.78173828125,36995.806690948084,3.0,77.0,0.0,0.0,50.21270173712637,25.665811139628676
Estrela,2021-09,736.78173828125,36851.349659698084,3.0,74.0,0.0,0.0,50.016636872678866,24.665844471850935
Estrela,2021-10,619.9599609375,38323.613331573084,2.0,81.0,0.0,0.0,61.81626163727441,40.49797510124493
Estrela,2021-11,619.9599609375,37800.681690948084,2.0,79.0,0.0,0.0,60.97276917126906,39.49802509874506
Estrela,2021-12,619.9599609375,36889.8505859375,2.0,75.0,0.0,0.0,59.503592102615265,37.49812509374531
Estrela,2022-01,619.9599609375,36369.65869140625,2.0,72.0,0.0,0.0,58.66451886659967,35.9982000899955
Estrela,2022-02,865.15380859375,31774.05517578125,4.0,63.0,0.0,0.0,36.72647705820096,15.749606259843505
Estrela,2022-03,577.447265625,31049.45166015625,3.0,62.0,0.0,0.0,53.77018497010526,20.665977800739974
Estrela,2022-04,577.447265625,31321.17919921875,3.0,63.0,0.0,0.0,54.24075173555997,20.999300023332555
Estrela,2022-05,577.447265625,29813.53515625,3.0,60.0,0.0,0.0,51.629874740152864,19.999333355554814
Estrela,2022-06,577.447265625,29509.2509765625,3.0,59.0,0.0,0.0,51.10292770081853,19.666011132962232
