Freguesia,AnoMes,Stock_12M_PED_Nova_Construcao_Area,Stock_12M_PED_Reabilitacao_Area,Stock_12M_PED_Nova_Construcao_Count,Stock_12M_PED_Reabilitacao_Count,Stock_12M_PED_Demolicao_Area,Stock_12M_PED_Demolicao_Count,Racio_Gentrificacao_PED_Area,Racio_Gentrificacao_PED_Count
Campo De Ourique,2017-10,10198.4453125,53758.39892578125,11.0,98.0,0.0,0.0,5.271234658950159,8.909009918091654
Campo De Ourique,2017-11,10198.4453125,55075.9658203125,11.0,97.0,0.0,0.0,5.400427574266089,8.818101653621332
Campo De Ourique,2017-12,10713.404296875,80368.099609375,14.0,95.0,0.0,0.0,7.501639687270428,6.785665816672738
Campo De Ourique,2018-01,8754.73095703125,75433.15966796875,11.0,90.0,0.0,0.0,8.616273781178645,8.18174380232907
Campo De Ourique,2018-02,10469.47412109375,64897.9921875,13.0,93.0,0.0,0.0,6.198782366429103,7.153791124683656
Campo De Ourique,2018-03,4993.1416015625,65662.79931640625,12.0,99.0,0.0,0.0,13.150598008435939,8.249931250572912
Campo De Ourique,2018-04,4993.1416015625,58990.40380859375,12.0,91.0,0.0,0.0,11.814285941481277,7.583270139415505
Campo De Ourique,2018-05,5232.0205078125,58832.01904296875,13.0,94.0,0.0,0.0,11.24460766746986,7.230713609895308
Campo De Ourique,2018-06,3807.5048828125,56551.81201171875,11.0,88.0,0.0,0.0,14.852721734311551,7.999927273388424
Campo De Ourique,2018-07,3016.3818359375,58205.6474609375,8.0,91.0,0.0,0.0,19.296511084179734,11.374857814277322
Campo De Ourique,2018-08,3016.3818359375,53316.56396484375,8.0,83.0,0.0,0.0,17.675667437742035,10.374870314121074
Campo De Ourique,2018-09,3016.3818359375,51049.65576171875,8.0,80.0,366.74072265625,2.0,16.924135220910735,9.999875001562481
Campo De Ourique,2018-10,3372.53076171875,52693.71337890625,9.0,84.0,366.74072265625,2.0,15.624382856515014,9.333229630781881
Campo De Ourique,2018-11,3372.53076171875,52338.8603515625,9.0,87.0,366.74072265625,2.0,15.519164241209918,9.666559260452662
Campo De Ourique,2018-12,3419.3779296875,28973.75244140625,8.0,92.0,366.74072265625,2.0,8.473398433823997,11.499856251796853
Campo De Ourique,2019-01,16584.8510742188,30603.556640625,9.0,96.0,366.74072265625,2.0,1.8452717072431928,10.666548149465006
Campo De Ourique,2019-02,14984.28320312505,29627.966796875,8.0,93.0,366.74072265625,2.0,1.9772695295140301,11.624854689316384
Campo De Ourique,2019-03,14882.50878906255,28111.876953125,8.0,88.0,366.74072265625,2.0,1.8889205551750066,10.999862501718729
Campo De Ourique,2019-04,14882.50878906255,28883.35595703125,8.0,92.0,366.74072265625,2.0,1.9407585221237935,11.499856251796853
Campo De Ourique,2019-05,14373.35742187505,29306.7783203125,6.0,94.0,366.74072265625,2.0,2.03896537574537,15.666405559907336
Campo De Ourique,2019-06,14528.07519531255,32904.28662109375,7.0,101.0,366.74072265625,2.0,2.2648758319493463,14.428365309067013
Campo De Ourique,2019-07,14605.79589843755,31444.7646484375,8.0,97.0,366.74072265625,2.0,2.152896333195486,12.124848439394508
Campo De Ourique,2019-08,14723.74511718755,39617.39013671875,9.0,110.0,366.74072265625,2.0,2.6907141866644073,12.222086421261986
Campo De Ourique,2019-09,14723.74511718755,40363.7275390625,9.0,110.0,0.0,0.0,2.7414035589222565,12.222086421261986
Campo De Ourique,2019-10,14367.5961914063,39516.615234375,8.0,109.0,0.0,0.0,2.750398496233577,13.62482968962888
Campo De Ourique,2019-11,15486.8129882813,64800.94970703125,10.0,109.0,0.0,0.0,4.184266274645325,10.899891001089989
Campo De Ourique,2019-12,14925.00683593755,62091.333984375,8.0,106.0,0.0,0.0,4.1602214492019325,13.249834377070288
Campo De Ourique,2020-01,1759.53369140625,60282.59228515625,7.0,103.0,0.0,0.0,34.26054820861233,14.714075513206955
Campo De Ourique,2020-02,1733.86962890625,60255.013671875,7.0,102.0,0.0,0.0,34.75175364523189,14.571220411136984
Campo De Ourique,2020-03,1558.11572265625,60880.369140625,6.0,103.0,0.0,0.0,39.07307034263805,17.166380560323994
Campo De Ourique,2020-04,1558.11572265625,60983.80712890625,6.0,99.0,0.0,0.0,39.13945692749726,16.499725004583258
Campo De Ourique,2020-05,1558.11572265625,60541.13818359375,6.0,94.0,0.0,0.0,38.85535163899704,15.666405559907336
Campo De Ourique,2020-06,1525.87939453125,57305.07275390625,6.0,87.0,0.0,0.0,37.55543800102666,14.499758337361044
Campo De Ourique,2020-07,3274.621100507677,59321.77099609375,8.0,91.0,0.0,0.0,18.115613185090496,11.374857814277322
Campo De Ourique,2020-08,3156.671881757677,50464.82373046875,7.0,74.0,0.0,0.0,15.98671766407901,10.571277553177811
Campo De Ourique,2020-09,3293.336920820177,47311.00537109375,8.0,68.0,0.0,0.0,14.365673805018398,8.49989375132811
Campo De Ourique,2020-10,3293.336920820177,49207.14697265625,8.0,71.0,0.0,0.0,14.941424658810543,8.874889063886702
Campo De Ourique,2020-11,2229.846686445177,21949.65576171875,7.0,65.0,0.0,0.0,9.843571269177152,9.285581634548079
Campo De Ourique,2020-12,2229.846686445177,21054.81787109375,7.0,62.0,0.0,0.0,9.442271100903461,8.857016328338167
Campo De Ourique,2021-01,2318.739264570177,21176.7763671875,8.0,61.0,0.0,0.0,9.13288344984518,7.624904688691392
Campo De Ourique,2021-02,2405.648932538927,20771.65234375,8.0,60.0,0.0,0.0,8.634531497650574,7.49990625117186
Campo De Ourique,2021-03,3240.928717695177,20196.75439453125,9.0,58.0,0.0,0.0,6.231779693604748,6.444372840301774
Campo De Ourique,2021-04,3525.263678632677,22198.43359375,11.0,63.0,0.0,0.0,6.296956763434018,5.727220661630349
Campo De Ourique,2021-05,3525.263678632677,21459.6123046875,11.0,64.0,0.0,0.0,6.087377754470024,5.818128926100672
Campo De Ourique,2021-06,3402.782233320177,20856.10009765625,10.0,63.0,0.0,0.0,6.1291314150283736,6.299937000629994
Campo De Ourique,2021-07,1645.9892578125,20550.556640625,8.0,59.0,0.0,0.0,12.48523056548582,7.37490781365233
Campo De Ourique,2021-08,1701.7158203125,22431.99951171875,9.0,65.0,0.0,0.0,13.181988394161218,7.222141976200264
Campo De Ourique,2021-09,1736.17822265625,26311.453125,9.0,74.0,0.0,0.0,15.154810298947309,8.222130865212609
Campo De Ourique,2021-10,1736.17822265625,24844.04931640625,9.0,71.0,0.0,0.0,14.309618425828706,7.888801235541828
Campo De Ourique,2021-11,1680.45166015625,26723.7216796875,8.0,77.0,0.0,0.0,15.90270087681821,9.624879689003889
Campo De Ourique,2021-12,1680.45166015625,26165.1103515625,8.0,76.0,0.0,0.0,15.570283522527088,9.499881251484357
Campo De Ourique,2022-01,3838.3671875,29169.345703125,8.0,77.0,0.0,0.0,7.599414938251919,9.624879689003889
Campo De Ourique,2022-02,3662.9462890625,29546.3642578125,7.0,76.0,0.0,0.0,8.066283565065946,10.856987757317754
Campo De Ourique,2022-03,2827.66650390625,31035.29443359375,6.0,76.0,0.0,0.0,10.975584742105159,12.666455559074016
Campo De Ourique,2022-04,2623.134765625,30709.19580078125,5.0,74.0,0.0,0.0,11.70705944372568,14.799704005919882
Campo De Ourique,2022-05,2623.134765625,33079.2373046875,5.0,75.0,0.0,0.0,12.610574369688724,14.99970000599988
Campo De Ourique,2022-06,2814.99267578125,33558.39111328125,6.0,76.0,0.0,0.0,11.921306300321758,12.666455559074016
Campo De Ourique,2022-07,3087.970703125,34990.44580078125,7.0,80.0,0.0,0.0,11.331210050746341,11.428408165597634
Campo De Ourique,2022-08,3032.244140625,32295.61767578125,6.0,73.0,0.0,0.0,10.650730981065212,12.166463892268462
Campo De Ourique,2022-09,2861.11669921875,28968.947265625,5.0,65.0,0.0,0.0,10.125048817837563,12.999740005199897
Campo De Ourique,2022-10,3043.98193359375,28780.27734375,6.0,65.0,0.0,0.0,9.454811830729424,10.833152780786987
Campo De Ourique,2022-11,3043.98193359375,27643.5576171875,6.0,62.0,0.0,0.0,9.081380018709009,10.333161113981435
Campo De Ourique,2022-12,3397.853515625,29594.77099609375,7.0,64.0,0.0,0.0,8.709842843141463,9.142726532478108
Campo De Ourique,2023-01,1151.04541015625,26298.44873046875,6.0,62.0,0.0,0.0,22.847444778181565,10.333161113981435
Campo De Ourique,2023-02,1320.3896484375,27597.23779296875,7.0,65.0,0.0,0.0,20.9008270668765,9.285581634548079
Campo De Ourique,2023-03,2244.56201171875,25532.92578125,9.0,64.0,0.0,0.0,11.375459671150924,7.111032099643338
Campo De Ourique,2023-04,2164.7587890625,23283.63330078125,8.0,62.0,0.0,0.0,10.755762878915709,7.749903126210922
Campo De Ourique,2023-05,2164.7587890625,20700.04541015625,8.0,59.0,0.0,0.0,9.56228682775886,7.37490781365233
Campo De Ourique,2023-06,1972.90087890625,20951.66845703125,7.0,61.0,0.0,0.0,10.619726322324892,8.714161226268196
Campo De Ourique,2023-07,1630.25341796875,18154.7412109375,5.0,60.0,0.0,0.0,11.136146010933194,11.999760004799905
Campo De Ourique,2023-08,1828.82568359375,20864.658203125,6.0,63.0,0.0,0.0,11.408772989915269,10.499825002916618
Campo De Ourique,2023-09,1828.82568359375,21117.5673828125,6.0,64.0,0.0,0.0,11.547063461296593,10.666488891851802
Campo De Ourique,2023-10,1645.96044921875,20360.08203125,5.0,61.0,0.0,0.0,12.369726626141707,12.199756004879903
Campo De Ourique,2023-11,2198.568359375,20746.8056640625,6.0,59.0,0.0,0.0,9.436506548429389,9.83316944717588
Campo De Ourique,2023-12,2415.8232421875,23188.17578125,6.0,60.0,0.0,0.0,9.59845671507312,9.999833336111065
Campo De Ourique,2024-01,2415.8232421875,24027.068359375,6.0,62.0,0.0,0.0,9.945705855138716,10.333161113981435
Campo De Ourique,2024-02,2246.47900390625,21091.85400390625,5.0,56.0,0.0,0.0,9.388849407604573,11.199776004479912
Campo De Ourique,2024-03,2822.94140625,20911.52001953125,4.0,55.0,0.0,0.0,7.407705747084411,13.749656258593536
Campo De Ourique,2024-04,2822.94140625,20084.2490234375,4.0,52.0,0.0,0.0,7.114652917522704,12.999675008124798
Campo De Ourique,2024-05,2822.94140625,19169.74462890625,4.0,49.0,0.0,0.0,6.790698491791057,12.24969375765606
Campo De Ourique,2024-06,2822.94140625,18089.6435546875,4.0,45.0,0.0,0.0,6.408083027805209,11.249718757031076
Campo De Ourique,2024-07,2950.2607421875,18093.0166015625,5.0,43.0,0.0,0.0,6.132683708111467,8.599828003439931
Campo De Ourique,2024-08,2840.5810546875,16163.69677734375,5.0,44.0,0.0,0.0,5.690278114628258,8.79982400351993
Campo De Ourique,2024-09,2840.5810546875,16205.5908203125,5.0,47.0,0.0,0.0,5.705026520214072,9.399812003759925
Campo De Ourique,2024-10,2840.5810546875,18719.06396484375,5.0,48.0,0.0,0.0,6.589871207852565,9.599808003839923
Campo De Ourique,2024-11,2287.97314453125,20391.23681640625,4.0,53.0,0.0,0.0,8.91235807286895,13.249668758281043
Campo De Ourique,2024-12,2249.08251953125,15809.3486328125,5.0,48.0,0.0,0.0,7.029243165867983,9.599808003839923
Campo De Ourique,2025-01,2367.2021484375,13945.24951171875,6.0,43.0,0.0,0.0,5.891025796770629,7.1665472242129304
Campo De Ourique,2025-02,2367.2021484375,15537.90869140625,6.0,49.0,0.0,0.0,6.563828123119699,8.166530557824036
Campo De Ourique,2025-03,1130.919921875,15780.30908203125,7.0,49.0,0.0,0.0,13.953514640114348,6.999900001428551
Campo De Ourique,2025-04,1722.22265625,16850.59326171875,8.0,53.0,0.0,0.0,9.78421240839341,6.624917188535144
Campo De Ourique,2025-05,1722.22265625,17852.35400390625,8.0,57.0,0.0,0.0,10.365879755751399,7.124910938613268
Campo De Ourique,2025-06,1722.22265625,20388.10009765625,8.0,65.0,0.0,0.0,11.838247998795278,8.124898438769515
Campo De Ourique,2025-07,1768.0869140625,20315.94482421875,8.0,67.0,0.0,0.0,11.490353507850946,8.374895313808578
Campo De Ourique,2025-08,2435.05224609375,20234.65576171875,9.0,66.0,0.0,0.0,8.309741593103194,7.333251852757192
Campo De Ourique,2025-09,2671.1806640625,19315.134765625,10.0,61.0,0.0,0.0,7.230935107607365,6.099939000609994
Campo De Ourique,2025-10,2830.99658203125,17731.810546875,11.0,64.0,0.0,0.0,6.263451546736665,5.818128926100672
Campo De Ourique,2025-11,2830.99658203125,16062.36376953125,11.0,62.0,0.0,0.0,5.67374870888455,5.636312397160026
Campolide,2016-08,844.6328125,9445.75390625,4.0,33.0,0.0,0.0,11.183265258148463,8.249793755156121
Campolide,2016-09,844.6328125,10002.00146484375,4.0,37.0,0.0,0.0,11.84183248938189,9.249768755781107
Campolide,2016-10,844.6328125,9997.0478515625,4.0,37.0,0.0,0.0,11.835967677334027,9.249768755781107
Campolide,2016-11,844.6328125,10119.60546875,4.0,37.0,0.0,0.0,11.981069313054977,9.249768755781107
Campolide,2016-12,744.62548828125,10267.87744140625,3.0,37.0,0.0,0.0,13.789315869612588,12.332922235925468
Campolide,2017-01,1008.5009765625,10029.2978515625,4.0,37.0,0.0,0.0,9.944756713346903,9.249768755781107
Campolide,2017-02,1008.5009765625,11374.95094668865,4.0,42.0,0.0,0.0,11.27906673680552,10.499737506562337
Campolide,2017-03,559.17041015625,10999.5862005949,2.0,44.0,0.0,0.0,19.67125590639833,21.998900054997247
Campolide,2017-04,2870.5185546875,11457.1438177824,4.0,44.0,0.0,0.0,3.991314879306954,10.99972500687483
Campolide,2017-05,2929.7744140625,12596.5041693449,4.0,49.0,0.0,0.0,4.299479058502105,12.24969375765606
Campolide,2017-06,2929.7744140625,11035.35426700115,4.0,45.0,0.0,0.0,3.7666223847716003,11.249718757031076
Campolide,2017-07,2929.7744140625,11568.47243106365,4.0,45.0,0.0,0.0,3.948587980247842,11.249718757031076
Campolide,2017-08,2929.7744140625,11109.6936224699,4.0,43.0,0.0,0.0,3.7919961311510337,10.749731256718583
Campolide,2017-09,2929.7744140625,12267.33375918865,4.0,44.0,0.0,0.0,4.187125562157496,10.99972500687483
Campolide,2017-10,2929.7744140625,13358.65895450115,4.0,49.0,0.0,0.0,4.559620165436449,12.24969375765606
Campolide,2017-11,2929.7744140625,18643.667743563652,4.0,50.0,0.0,0.0,6.363516254946141,12.499687507812306
Campolide,2017-12,2929.7744140625,19077.677509188652,4.0,53.0,0.0,0.0,6.5116538551409056,13.249668758281043
Campolide,2018-01,3619.67529296875,19478.285419344902,5.0,55.0,0.0,0.0,5.381224365362053,10.999780004399913
Campolide,2018-02,3619.67529296875,23402.7646484375,5.0,53.0,0.0,0.0,6.465431871017375,10.599788004239915
