date,Year,Month,parish,price_m2,imputed_flag
2020-07-01,2020,7,Santo António,15.7,0
2020-07-01,2020,7,São Domingos de Benfica,12.5,0
2020-07-01,2020,7,São Vicente,14.2,0
2020-08-01,2020,8,Alvalade,13.3,0
2020-08-01,2020,8,Areeiro,12.5,0
2020-08-01,2020,8,Arroios,14.1,0
2020-08-01,2020,8,Avenidas Novas,14.8,0
2020-08-01,2020,8,Belém,14.9,0
2020-08-01,2020,8,Benfica,11.5,0
2020-08-01,2020,8,Campo de Ourique,15.0,0
2020-08-01,2020,8,Campolide,14.7,0
2020-08-01,2020,8,Estrela,14.5,0
2020-08-01,2020,8,Lumiar,11.8,0
2020-08-01,2020,8,Misericórdia,16.0,0
2020-08-01,2020,8,Parque das Nações,14.0,0
2020-08-01,2020,8,Penha de França,12.8,0
2020-08-01,2020,8,Santa Maria Maior,16.1,0
2020-08-01,2020,8,Santo António,15.7,0
2020-08-01,2020,8,São Domingos de Benfica,12.9,0
2020-08-01,2020,8,São Vicente,14.5,0
2020-09-01,2020,9,Alvalade,13.3,0
2020-09-01,2020,9,Areeiro,12.3,0
2020-09-01,2020,9,Arroios,13.8,0
2020-09-01,2020,9,Avenidas Novas,14.7,0
2020-09-01,2020,9,Belém,14.9,0
2020-09-01,2020,9,Benfica,11.6,0
2020-09-01,2020,9,Campo de Ourique,15.0,0
2020-09-01,2020,9,Campolide,14.5,0
2020-09-01,2020,9,Estrela,14.4,0
2020-09-01,2020,9,Lumiar,11.8,0
2020-09-01,2020,9,Misericórdia,15.9,0
2020-09-01,2020,9,Parque das Nações,13.9,0
2020-09-01,2020,9,Penha de França,12.7,0
2020-09-01,2020,9,Santa Maria Maior,16.2,0
2020-09-01,2020,9,Santo António,15.9,0
2020-09-01,2020,9,São Domingos de Benfica,12.8,0
2020-09-01,2020,9,São Vicente,14.1,0
2020-10-01,2020,10,Alvalade,13.3,0
2020-10-01,2020,10,Areeiro,12.5,0
2020-10-01,2020,10,Arroios,14.3,0
2020-10-01,2020,10,Avenidas Novas,14.5,0
2020-10-01,2020,10,Belém,14.5,0
2020-10-01,2020,10,Benfica,11.7,0
2020-10-01,2020,10,Campo de Ourique,15.0,0
2020-10-01,2020,10,Campolide,14.2,0
2020-10-01,2020,10,Estrela,14.3,0
2020-10-01,2020,10,Lumiar,11.7,0
2020-10-01,2020,10,Misericórdia,16.1,0
2020-10-01,2020,10,Parque das Nações,14.2,0
2020-10-01,2020,10,Penha de França,12.5,0
2020-10-01,2020,10,Santa Maria Maior,16.3,0
2020-10-01,2020,10,Santo António,15.8,0
2020-10-01,2020,10,São Domingos de Benfica,12.5,0
2020-10-01,2020,10,São Vicente,13.8,0
